Room	occupant
101	With Intent Marketing Services
102	ElementAi
103	The Bubbles Company
104	Kids Code Jeunesse
105	The Bubbles Company
106	Aspertise Inc.
107	Corstem Inc.
108	Charlie Mango (9336-9627 Quebec Inc.)
109	DogSync + Jon Mansfield (Dec 22)
110	500 Startups Canada
111	Meeting Room
112	Octoraise
201	McGill University
202	Meeting Room
203	VilloTec
204	Voco Studios
205	Taste Bay
206	ElementAI
207	9261-3801 Quebec Inc. (Men at Heights)
208	YPC Technologies Inc.
209	LiveScale Tehnologies Inc.
210	Nabes
211	ADMIN - Ritika
212	
213	ADMIN - Emma
1	Real Ventures
2	Flow Ventures
3	Innocité
4	Desjardins
5	Montreal Newtech
6	Pyxis
